dataset_a,dataset_b,model,dsi_10,auc_learning,convergence_rate,stability,auc_500,mean_pad_max
dior-bg_blurry,dota-bg_blurry,LogReg,30.527594076463394,63.558672202472756,42.57591643069033,96.23505010106544,86.06704717686532,113.42624431570425
dior-bg_blurry,dota-bg_blurry,MLP,21.078969220310583,63.21488035055235,27.34229187679911,95.67879052767697,87.16907009878246,116.82317946801221
dior-bg_blurry,dota-bg_blurry,Discriminator,23.126891674074667,63.197223722642256,27.180303153431968,95.08326027281848,87.14491975252008,116.89279262443155
artaxor,dior-bg_blurry,LogReg,97.80612922980771,99.38903829200301,95.22210546830941,95.52774365876613,99.99825954467107,199.5406779661017
artaxor,dior-bg_blurry,MLP,85.11622251382207,98.64241440784276,69.50109746698938,92.78135224032833,99.99265525351908,198.9279661016949
artaxor,dior-bg_blurry,Discriminator,77.4270417712443,98.34334237416343,58.677174444432026,93.01293108363613,99.98646450373457,198.39491525423725
artaxor,dota-bg_blurry,LogReg,97.54845065778801,99.36845307712332,95.42955792721591,95.44568987570942,99.99916696351622,199.56118644067794
artaxor,dota-bg_blurry,MLP,89.45917347979832,98.81116894916855,80.89510259921413,94.4003571055081,99.99588331298477,198.9728813559322
artaxor,dota-bg_blurry,Discriminator,75.74199177591179,98.42779375061251,56.71753903420449,91.84685046905892,99.9917740591784,198.43813559322032
cadot,dior-bg_blurry,LogReg,93.06427214624809,98.80627296253729,89.62439937441677,95.30388168556675,99.89848364281055,194.59692757863937
cadot,dior-bg_blurry,MLP,79.03567199554824,98.10982259315362,71.39487515326591,94.52377264008868,99.8376652696088,193.13825896122896
cadot,dior-bg_blurry,Discriminator,64.99084391105173,97.50563419336858,52.28490529302772,91.4500807424233,99.817665954581,193.03950256035117
cadot,dota-bg_blurry,LogReg,91.516925343577,98.7255900642177,87.75152800883546,94.94870475653742,99.88381921764402,194.21872713972198
cadot,dota-bg_blurry,MLP,73.36514169088535,97.73442297779707,67.5069553034206,91.7895135630002,99.83605418023008,193.2114118507681
cadot,dota-bg_blurry,Discriminator,65.48405809176212,97.33356184390996,57.13615468314922,91.08896472835598,99.81618496978363,192.58229700073156
coco,dior-bg_blurry,LogReg,96.23958430005679,99.18049704095824,90.720983181303,95.25979788241955,99.99859778673832,199.5048900517037
coco,dior-bg_blurry,MLP,76.852057597922,98.34943795956151,53.52656071477504,93.64732524904173,99.99637444907148,199.10515168504332
coco,dior-bg_blurry,Discriminator,65.32404874235607,97.8544447939493,41.95846603613958,90.38567580936785,99.99404200838292,198.85909175854977
coco,dota-bg_blurry,LogReg,97.74739474155456,99.25054575384083,91.56458569178214,95.33476177330618,99.9983231189657,199.530702430502
coco,dota-bg_blurry,MLP,76.22933749658425,98.47107121096342,54.344096704182434,93.24388516135961,99.99692277866644,199.20995837829506
coco,dota-bg_blurry,Discriminator,69.12622416839717,98.07173522928264,41.80994021135043,92.39615456350843,99.99545575382288,198.9739307675179
deepfruits,dior-bg_blurry,LogReg,98.07029557627452,98.86164830453853,95.52954471870993,94.42020905551674,99.99750472589793,198.9739130434783
deepfruits,dior-bg_blurry,MLP,84.71505653640152,97.60008199540383,70.85025490365503,91.25706543409888,99.92325141776938,198.43478260869568
deepfruits,dior-bg_blurry,Discriminator,76.38127355683397,97.07071056824495,57.14976174690022,90.97278982090342,99.94102079395087,197.6521739130435
deepfruits,dota-bg_blurry,LogReg,97.35928585598097,98.6770767826345,95.37756690233554,93.82631611364836,99.99516068052928,198.13913043478263
deepfruits,dota-bg_blurry,MLP,86.84038881174368,97.45554688377027,75.97795252077837,91.68405657857024,99.97088846880906,196.86956521739137
deepfruits,dota-bg_blurry,Discriminator,76.58341598889109,96.6561570972283,59.54297211842483,89.5000668997172,99.965595463138,196.0
dior,dior-bg_blurry,LogReg,79.28282624805023,93.34736349437026,74.78146821937196,95.20797221236433,98.02631886745617,174.72040599551514
dior,dior-bg_blurry,MLP,64.39847740040878,92.16234582474723,51.27823496128092,94.37526101975658,98.15207034503932,175.18234391596835
dior,dior-bg_blurry,Discriminator,60.91318470199596,91.75056115112174,46.1353043429049,91.14457578432254,98.13827248122135,175.06196152484358
dior,dota-bg_blurry,LogReg,85.5482480076739,96.87435241848688,78.94613895168541,95.30371952476102,99.52068296056777,187.1719579841851
dior,dota-bg_blurry,MLP,75.11219852615602,95.45148004687572,63.83154203408456,93.9790914988084,99.41469058364648,185.88339431134187
dior,dota-bg_blurry,Discriminator,64.61395696084995,94.77217320997212,49.67275912959431,92.08440133281336,99.38076783886902,185.39950430780127
dior_bg,dior-bg_blurry,LogReg,54.488635652396056,71.82093882441461,74.7967478536905,94.73403111798754,88.0750899717245,122.16950102784526
dior_bg,dior-bg_blurry,MLP,43.28457543763715,71.17173122803815,58.16909453304583,94.08512250587901,88.69021088915373,124.07587366847319
dior_bg,dior-bg_blurry,Discriminator,35.10174095612699,70.56984896019046,42.279218582926234,92.8841806211903,88.76602637584851,124.17429763907055
dior_bg,dota-bg_blurry,LogReg,52.728744136104154,81.26471550541535,63.354574639114226,95.29177740538599,93.82659959695644,148.2137197553842
dior_bg,dota-bg_blurry,MLP,44.80348999226991,80.77820601293237,52.40025236742988,94.0000224847271,94.2299168017898,147.76229726136665
dior_bg,dota-bg_blurry,Discriminator,33.2444007009695,80.60957689616328,32.738341429624676,92.37808889102716,94.32061358206127,148.54799255517148
dota,dior-bg_blurry,LogReg,72.90073586799002,91.9942231620026,69.69271953722193,95.61675239484532,97.85694076103448,172.23132476160265
dota,dior-bg_blurry,MLP,50.28249138947658,90.1797993175937,46.135475807170245,94.53074159577454,97.86328580060164,172.07923563550864
dota,dior-bg_blurry,Discriminator,46.55552985117326,89.9371162701801,37.7063938888382,92.56712700464809,97.847444899335,172.0518036090843
dota,dota-bg_blurry,LogReg,75.83283837454684,88.91328563458428,80.52445708450088,95.08750043736313,95.73886297775742,162.3461660477355
dota,dota-bg_blurry,MLP,63.29973003803304,88.08392781220564,62.60948471331906,94.07119177201241,95.9826125077374,163.88769664284246
dota,dota-bg_blurry,Discriminator,54.437240427026865,87.57363282117188,44.16034153858669,93.19275472216573,95.98109359292376,163.85149383245937
fashionpedia,dior-bg_blurry,LogReg,99.114102721376,99.37282421758286,97.34559558210059,96.23002924931984,99.99941877184064,199.8164898049891
fashionpedia,dior-bg_blurry,MLP,90.800369888361,98.81256275220835,77.28168209771931,94.20681618249846,99.99872365255482,199.69331629534977
fashionpedia,dior-bg_blurry,Discriminator,80.18551379874177,98.50287321077313,54.51379723794464,92.49219057983429,99.99870728692476,199.67025945885888
fashionpedia,dota-bg_blurry,LogReg,97.24909215451912,99.31760067946126,95.25935861579599,95.09947178928385,99.99966682100582,199.87332629590534
fashionpedia,dota-bg_blurry,MLP,84.08034444673729,98.74491841919944,63.86864434250208,93.23600205195488,99.99957862795068,199.80054447469306
fashionpedia,dota-bg_blurry,Discriminator,74.67103693430299,98.37059305055823,55.148993877803555,91.8073845033037,99.99949850523672,199.8055447524863
oktoberfest,dior-bg_blurry,LogReg,99.62137887970617,99.49986351674602,97.8907684962122,96.1360576035089,100.0,199.83931623931625
oktoberfest,dior-bg_blurry,MLP,97.37317171717173,99.26991966590789,85.17487402085516,94.23833941368488,99.9997772332368,199.43283582089552
oktoberfest,dior-bg_blurry,Discriminator,93.24401101928372,99.12152835407247,76.88883443600427,93.5355975192831,99.99937625306305,199.34328358208958
oktoberfest,dota-bg_blurry,LogReg,99.43125803489443,99.52859383558909,97.29960396799561,95.76069628585151,100.0,199.8176870748299
oktoberfest,dota-bg_blurry,MLP,95.22882644628096,99.27779125774077,85.8764129479056,92.675367332072,99.99986633994207,199.58208955223878
oktoberfest,dota-bg_blurry,Discriminator,94.59741414141416,99.1886599102667,79.86730787569988,92.85275761431022,99.99937625306305,199.19402985074623
uodd,dior-bg_blurry,LogReg,97.5464192233756,99.46504546198034,95.04713811550303,95.2162083766542,99.9998673296258,199.70194174757282
uodd,dior-bg_blurry,MLP,90.08766397539401,99.00350274464886,79.30815233141013,93.5266582402952,99.99410288434348,198.7135922330097
uodd,dior-bg_blurry,Discriminator,78.47054748173778,98.52597797575685,65.60855041879525,92.53571661708531,99.98961848430577,198.0970873786408
uodd,dota-bg_blurry,LogReg,96.62499561707037,99.39264971377798,95.26966577804534,95.0540379062734,99.99972381939862,199.6174757281553
uodd,dota-bg_blurry,MLP,83.43768935024988,98.7094480818072,79.79449835632184,93.44824859859516,99.99624964652654,198.88834951456312
uodd,dota-bg_blurry,Discriminator,71.3882706651288,98.33606774273301,59.38743016062335,91.70630918137498,99.99153313224622,198.23300970873785
xview,dior-bg_blurry,LogReg,82.30060321055961,97.7840570923885,72.3668509982524,95.44485534285481,99.85941061096307,193.406702320789
xview,dior-bg_blurry,MLP,61.99100073638662,96.19719023573695,50.21103744515837,94.32237866636656,99.78790297350076,191.87282272704968
xview,dior-bg_blurry,Discriminator,51.444963828525815,95.56984718858824,41.188335814383855,93.04845384041478,99.78165182337844,191.69962219714444
xview,dota-bg_blurry,LogReg,85.06517813493359,97.73716833689902,77.12570859192994,95.27273877799607,99.86530766321718,192.464059663412
xview,dota-bg_blurry,MLP,72.53242615143971,95.99069178184116,63.11520293706754,94.29635369387682,99.72221161626908,189.96074775526225
xview,dota-bg_blurry,Discriminator,62.556978776249174,95.52888791261256,47.053858464085025,93.05992743203507,99.75695953544187,190.32726559050096
